AISelect,AISent,AIBen,AIAcc,AIComplex,AIThreat,AIEthics,AIChallenges,MainBranch,DevType,OrgSize,YearsCode,YearsCodePro,Country,CompTotal,Currency,Industry,Employment,RemoteWork,EdLevel,Age,TimeSearching,TimeAnswering,JobSat,PurchaseInfluence,ICorPM,WorkExp,AI_Status,Is_AI_User,Sentiment_Score,Sentiment_Category,Trust_Score,Complexity_Score,Company_Size_Category,Company_Size_Order,Years_Pro_Clean,Experience_Level,Threat_Category,Role_Category,Ben_Increase_productivit,Ben_Speed_up_learning,Ben_Greater_efficiency,Ben_Improve_accuracy_in_,Ben_Make_workload_more_m,Ben_Improve_collaboratio,Benefits_Count,Challenge_Trust,Challenge_Context,Challenge_Security,Challenge_Training,Challenge_Adoption,Challenges_Count,Time_Searching_Mins,Comp_Clean,Hourly_Rate_Est,Hours_Saved_Weekly_Low,Hours_Saved_Weekly_Mid,Hours_Saved_Weekly_High,Value_Annual_Low,Value_Annual_Mid,Value_Annual_High,ROI_Low,ROI_Mid,ROI_High,AI_Perception_Score,AI_Perception_Category,Region
Yes,Very favorable,Increase productivity,,,,,,I am a developer by profession,,,,,United States of America,,,,"Employed, full-time",Remote,Primary/elementary school,Under 18 years old,,,,,,,Using AI,1,5.0,Positive,,,,,,Unknown,,Unknown,1,0,0,0,0,0,1,0,0,0,0,0,0,,,,2,5,8,,,,,,,3.6666666666666665,Positive,North America
"No, and I don't plan to",,,,,,,,I am a developer by profession,"Developer, full-stack",,20,17,United Kingdom of Great Britain and Northern Ireland,,,,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",35-44 years old,,,,,Individual contributor,17.0,Not Using,0,,,,,,,17.0,Expert (10+),,Full-Stack Developer,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,5,8,,,,,,,3.0,Neutral,Western Europe
"No, and I don't plan to",,,,,,,,I am a developer by profession,Developer Experience,,37,27,United Kingdom of Great Britain and Northern Ireland,,,,"Employed, full-time",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",45-54 years old,,,,,,,Not Using,0,,,,,,,27.0,Expert (10+),,Other Developer,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,5,8,,,,,,,3.0,Neutral,Western Europe
Yes,Very favorable,Increase productivity;Greater efficiency;Improve collaboration;Speed up learning;Improve accuracy in coding,Somewhat trust,Bad at handling complex tasks,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data,Don’t trust the output or answers,I am learning to code,"Developer, full-stack",,4,,Canada,,,,"Student, full-time",,Some college/university study without earning a degree,18-24 years old,,,,,,,Using AI,1,5.0,Positive,4.0,2.0,,,,Unknown,Not Threatened,Full-Stack Developer,1,1,1,1,0,1,5,1,0,0,0,0,1,,,,2,5,8,,,,,,,3.6666666666666665,Positive,North America
"No, and I don't plan to",,,,,,,,I am a developer by profession,"Developer, full-stack",,9,,Norway,,,,"Student, full-time",,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",18-24 years old,,,,,,,Not Using,0,,,,,,,,Unknown,,Full-Stack Developer,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,5,8,,,,,,,3.0,Neutral,Western Europe
Yes,Favorable,Increase productivity;Greater efficiency;Improve accuracy in coding,Somewhat trust,"Good, but not great at handling complex tasks",No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Replacing jobs without options for new employment opportunities,,I code primarily as a hobby,Student,,10,,United States of America,,,,"Student, full-time",,Primary/elementary school,Under 18 years old,,,,,,,Using AI,1,4.0,Positive,4.0,4.0,,,,Unknown,Not Threatened,Student,1,0,1,1,0,0,3,0,0,0,0,0,0,,,,2,5,8,,,,,,,4.0,Positive,North America
"No, and I don't plan to",,,,,,,,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Academic researcher,,7,7,United States of America,,,,"Employed, full-time",Remote,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",35-44 years old,,,,,,,Not Using,0,,,,,,,7.0,Senior (5-10),,Researcher/Academic,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,5,8,,,,,,,3.0,Neutral,North America
Yes,Indifferent,Increase productivity;Speed up learning;Improve accuracy in coding,Somewhat distrust,Bad at handling complex tasks,Yes,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Replacing jobs without options for new employment opportunities,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge",I am learning to code,Student,,1,,Uzbekistan,,,,"Student, full-time;Not employed, but looking for work",,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",18-24 years old,,,,,,,Using AI,1,3.0,Neutral,2.0,2.0,,,,Unknown,Threatened,Student,1,1,0,1,0,0,3,1,1,0,0,0,2,,,,2,5,8,,,,,,,2.333333333333333,Neutral,Other
"No, and I don't plan to",,,,,,,,I code primarily as a hobby,Academic researcher,,20,,United Kingdom of Great Britain and Northern Ireland,,,,"Employed, full-time",In-person,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",45-54 years old,,,,,,,Not Using,0,,,,,,,,Unknown,,Researcher/Academic,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,5,8,,,,,,,3.0,Neutral,Western Europe
Yes,Indifferent,Increase productivity;Speed up learning,Neither trust nor distrust,Bad at handling complex tasks,I'm not sure,,,I am a developer by profession,"Developer, full-stack",,15,11,Serbia,,,,"Independent contractor, freelancer, or self-employed",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,,,,,,,Using AI,1,3.0,Neutral,3.0,2.0,,,11.0,Expert (10+),Uncertain,Full-Stack Developer,1,1,0,0,0,0,2,0,0,0,0,0,0,,,,2,5,8,,,,,,,2.6666666666666665,Neutral,Eastern Europe
Yes,Favorable,Increase productivity;Speed up learning;Improve accuracy in coding,Somewhat distrust,Neither good or bad at handling complex tasks,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Replacing jobs without options for new employment opportunities;Biased results that do not represent diverse viewpoints;Imitating a person's likeness;Energy demand,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;Lack of proper training and education on new tools","I used to be a developer by profession, but no longer am",Project manager,,20,,United States of America,,,Healthcare,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",35-44 years old,30-60 minutes a day,60-120 minutes a day,8.0,,Individual contributor,15.0,Using AI,1,4.0,Positive,2.0,3.0,,,,Unknown,Not Threatened,Manager/Executive,1,1,0,1,0,0,3,1,1,0,1,0,3,45.0,,,2,5,8,,,,,,,3.0,Neutral,North America
